system:index,2016,2016_1,2017,2018,2019,2020,2021,2022,2023,2024,COUNTYNAME,COUNTY_NO,FID,ITYPE,MAPPEDBY,SOURCECODE,USAGE,.geo
00000000000000000000,0.7771274641851352,0.7771274641851352,0.9187706624219418,0.9464430023264355,0.9302559079221255,0.941324843883923,0.9252357046651157,0.9319211460756702,0.9293253336598505,0.9352271335863841,Powell,77,077_000017,F,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.93337553481545,46.57641932689],[-112.93298752760758,46.576440541014286],[-112.93249668640222,46.5764699930573],[-112.93212225679693,46.57659417354251],[-112.93181844704905,46.57668677843389],[-112.9316171185901,46.576821193230984],[-112.93141532601291,46.57697840751997],[-112.93119621288776,46.5770694700148],[-112.93094320185409,46.5771557595086],[-112.93065032695881,46.577215136650814],[-112.93022216203076,46.57735964678849],[-112.93012965873098,46.57740761865581],[-112.9299436196663,46.57744907893964],[-112.92972815029378,46.57750334020251],[-112.9295790905682,46.577535595332],[-112.92938673300978,46.57757784659272],[-112.92909960988831,46.57765924845802],[-112.9287577270087,46.57770650032559],[-112.92841188772739,46.57771328945359],[-112.92815901878028,46.57769935955122],[-112.9284584963424,46.57890456224958],[-112.92861967452929,46.57957631574993],[-112.9287413951751,46.58007091437967],[-112.92880366968042,46.580336242195834],[-112.92892012413517,46.58043089800194],[-112.92909646604961,46.58032694283098],[-112.9291936202451,46.580524235348165],[-112.92919404983273,46.580779071292646],[-112.92935432912788,46.58089105027094],[-112.92979430709627,46.58086794581387],[-112.93003367334421,46.58072874933161],[-112.93031496688737,46.58067538493975],[-112.9308446308386,46.580618301886375],[-112.93113399669248,46.58059585178808],[-112.93126688263786,46.58055190068808],[-112.93131449128965,46.580432202906366],[-112.93135562798942,46.58036330809248],[-112.93157913101246,46.58033989008054],[-112.93175055522647,46.58036853876168],[-112.93206660546552,46.58052478895856],[-112.93333887086693,46.580397624930434],[-112.93337553481545,46.57641932689]]]}"
00000000000000000001,0.2513416815742397,0.2513416815742397,0.20080500894454384,0.42833184257602863,0.22931574239713778,0.2601744186046512,0.20315295169946332,0.1463550983899821,0.8074686940966009,0.04349284436493738,Powell,77,077_000018,F,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.92772088294113,46.57464527830118],[-112.92759972441993,46.57463313330889],[-112.92753143974652,46.5751286766022],[-112.92737675151899,46.57536649908122],[-112.92721250085773,46.57549167617324],[-112.92699345040049,46.57558279133874],[-112.92657994200148,46.575607121087515],[-112.92569540444681,46.575635691191444],[-112.92474672602299,46.57569507384681],[-112.9241150447645,46.575737567801205],[-112.92364792344576,46.575732143316486],[-112.92328645201827,46.57575453780578],[-112.92271413006782,46.576076418367904],[-112.92280518780561,46.57612421057625],[-112.92310697071285,46.576200263423246],[-112.9236673083147,46.576312374354266],[-112.92403027152494,46.5763717119916],[-112.9243350506357,46.57638375391221],[-112.92480674742315,46.576406727863045],[-112.92557747894584,46.57641970815819],[-112.92696928488098,46.576450602657744],[-112.92767423512176,46.57646266070551],[-112.92767094541796,46.57639935850251],[-112.92772174566797,46.576393047107615],[-112.92772088294113,46.57464527830118]]]}"
00000000000000000002,0.8758980185117119,0.8758980185117119,0.871854846793865,0.8862565576235506,0.8800414341564472,0.8921041200253951,0.8964480235239082,0.8773348481304507,0.8908677782604337,0.6721021151468574,Powell,77,077_000019,F,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.91746801478486,46.57886176284901],[-112.91726224949453,46.57892843635118],[-112.91679223925746,46.57916461951873],[-112.91591587230855,46.57935144095425],[-112.91542652303644,46.57946254260496],[-112.91519593815505,46.57955963031473],[-112.91482621557361,46.57982879684181],[-112.91454826931286,46.57994548569026],[-112.91382258126968,46.580131635652926],[-112.9136431914915,46.5802496051536],[-112.91339171737086,46.5805950792676],[-112.9131349010448,46.580768204528944],[-112.9126084914857,46.580938636353636],[-112.91247944456427,46.5810230473166],[-112.91243223940083,46.58116999276249],[-112.91217150002596,46.58153028430849],[-112.91175212847433,46.58181023023176],[-112.91179200741654,46.58201457815266],[-112.91236846088236,46.58213840131579],[-112.91275858079719,46.58222622978173],[-112.91299418685786,46.58222416388711],[-112.913991987762,46.58217693526673],[-112.91476636023891,46.582153139507554],[-112.91528769975693,46.582165383137536],[-112.91587083709433,46.5821882142177],[-112.91718530500992,46.582451931504856],[-112.91740828422277,46.582451436444245],[-112.91746801478486,46.57886176284901]]]}"
00000000000000000003,0.15499332952163142,0.15499332952163142,0.23527730131503719,0.25805222031637126,0.29450161997331814,0.29450161997331814,0.2795883361921098,0.215599390127692,0.30445969125214417,0.12059271964932344,Powell,77,077_000020,F,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.92811051340824,46.58163367033052],[-112.92804444606557,46.58150535715008],[-112.92797555349658,46.58134099008907],[-112.92786376699588,46.581263864783786],[-112.92756824177573,46.58123708516009],[-112.92740067822908,46.581248913740154],[-112.9272136950081,46.581235863233786],[-112.92696635569227,46.58129405898273],[-112.92669024981537,46.58134221148483],[-112.92642292734466,46.58134829357815],[-112.9260825115258,46.58129983982351],[-112.9258769854741,46.58126629461459],[-112.92567726735749,46.58125484572734],[-112.92554735639521,46.58123462314562],[-112.9246618372181,46.581158690107806],[-112.92338052805785,46.58120032870512],[-112.92221917379189,46.58129992242377],[-112.92169199785901,46.581315678221735],[-112.92094721599082,46.58150428664061],[-112.92084151846487,46.581754169488065],[-112.9206383340521,46.58195706630579],[-112.92034555871759,46.58219390743841],[-112.92007928515645,46.5824319726096],[-112.91977758013363,46.58258345009771],[-112.92040902870004,46.58264115682789],[-112.92112826286268,46.58273340614978],[-112.92167440232656,46.58276533592349],[-112.9222141260062,46.582798075175084],[-112.92240752598399,46.58281032356175],[-112.92271352431653,46.58282669510074],[-112.92341302509608,46.58271659541333],[-112.92502402647459,46.58247897170151],[-112.9252799512004,46.58242880895304],[-112.92547977932317,46.58239018027283],[-112.92547649567503,46.58209921453847],[-112.92571855003268,46.58204624529193],[-112.92575379137023,46.582055541093794],[-112.92577916705018,46.582052352611434],[-112.92625803132775,46.581951548676685],[-112.92718026424066,46.58189093825795],[-112.92740089839778,46.58188161872249],[-112.92802570787839,46.58186273017931],[-112.92811200563979,46.58176546980919],[-112.92811051340824,46.58163367033052]]]}"
0000000000000000000a,0.6481119393865331,0.6481119393865331,0.892317406004318,0.9135198989775553,0.9052201719010957,0.8922664874332966,0.8821947940852989,0.7064849892052631,0.9428693633141881,0.7651839178785288,Powell,77,077_000063,F,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.92774477011159,46.576658739034904],[-112.92767465364241,46.57654005052298],[-112.92725199010573,46.57652912535307],[-112.92674052010027,46.576529280954674],[-112.92562113377839,46.576487038011805],[-112.92454444450705,46.57645769483521],[-112.924067660932,46.5764398999],[-112.92346854224003,46.576355424636134],[-112.9225863403174,46.5761652231666],[-112.92146038345912,46.577084178546706],[-112.9215842515527,46.57718245681984],[-112.92112744249297,46.577671935250045],[-112.92074015622916,46.577847750508674],[-112.92051860944883,46.57803018279231],[-112.91973152493651,46.57851081617237],[-112.91913348837406,46.57870841178557],[-112.91894666552763,46.57882276877102],[-112.91800509281991,46.580123814533124],[-112.9178352867305,46.58035436428648],[-112.9177975191233,46.5804364849715],[-112.91773363604973,46.58059462561288],[-112.91761451492164,46.580868947947934],[-112.91753846606298,46.581916287954925],[-112.91758464530814,46.58257506939578],[-112.91826489829603,46.58251741824843],[-112.91873291966579,46.582399801448034],[-112.91919237502802,46.582224095242246],[-112.91960406523465,46.581990593627694],[-112.91972900402624,46.58191587056519],[-112.91935308523655,46.581730615541304],[-112.91934260661333,46.58174104066598],[-112.9191320821874,46.58189023670236],[-112.91890983513005,46.582095525689965],[-112.91811874107856,46.58213055219987],[-112.91812663123204,46.58175634706002],[-112.91813936867553,46.58175474329657],[-112.9191204798845,46.58103595715159],[-112.92012818399922,46.5811786550846],[-112.92022058913028,46.58118076664693],[-112.92045091464654,46.58118390455647],[-112.9209152119236,46.58115322458145],[-112.92117281351064,46.581134718851885],[-112.92118668063206,46.58113752519768],[-112.92159566549533,46.58104545213696],[-112.92196067956932,46.58098621501172],[-112.92214786070286,46.580949178061445],[-112.9224181001598,46.58092908580581],[-112.92269003085568,46.58094063640593],[-112.92278356750253,46.580947155803266],[-112.92351287084311,46.58095171341195],[-112.92377098828942,46.580910311941544],[-112.92402679487891,46.58091023164874],[-112.9245195029839,46.5810398950387],[-112.92559868127005,46.58102798198367],[-112.92664674189672,46.58099721376565],[-112.9280061008669,46.5809275072475],[-112.9280048107648,46.58074561205531],[-112.92795900429755,46.57988645334163],[-112.92823782681913,46.57987437293513],[-112.92857217796187,46.579873577924296],[-112.92835767202432,46.579071908571834],[-112.92795164881696,46.57750675944362],[-112.92774477011159,46.576658739034904]]]}"
00000000000000000004,0.9658620106535895,0.9658620106535895,0.9755009723513997,0.9831318170288325,0.9755749556100451,0.9529572165384294,0.9706075082438492,0.974792846875793,0.9762196668639557,0.9390800710239287,Powell,77,077_000038,P,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.9279153416944,46.570970524686096],[-112.92780860630285,46.57071076653696],[-112.92722972633268,46.570678382607866],[-112.92447549518515,46.57065384412483],[-112.92287065155985,46.570635788550526],[-112.92077162737266,46.57063403230539],[-112.92018586150601,46.57103037063592],[-112.91958521507794,46.572002024278476],[-112.9193338260207,46.5721199309114],[-112.91913363128025,46.57225871508864],[-112.9190068680998,46.572401985605815],[-112.91903467376619,46.57258513987694],[-112.9187478121574,46.57319897743974],[-112.91853518931335,46.57328925542366],[-112.9184007614344,46.573479000215855],[-112.91832118514905,46.57365282905749],[-112.91814340725708,46.57385249942838],[-112.9180366591334,46.57404794585915],[-112.91801377912925,46.57418734221724],[-112.91782269135341,46.57441143735951],[-112.91759176674377,46.57483630346852],[-112.91740040056357,46.57516063018088],[-112.91722977070012,46.57551420458171],[-112.91715571444935,46.57598770182566],[-112.91991366234456,46.576430698178754],[-112.92071757331448,46.576571594162345],[-112.92080776357403,46.576514746678654],[-112.92275992321179,46.57420450197149],[-112.92304487637432,46.5738366203909],[-112.92592420227261,46.57419151233167],[-112.92624113957531,46.5742247625639],[-112.9264292181798,46.574242223802834],[-112.92671323868217,46.57427506351976],[-112.92673342209211,46.574277076933214],[-112.9275224118279,46.57436055536163],[-112.9276975963126,46.57425220692425],[-112.9276756106464,46.573358229470436],[-112.92766392892963,46.57295915423089],[-112.92782645962397,46.57189197796958],[-112.9279153416944,46.570970524686096]]]}"
00000000000000000005,0.9473182722050378,0.9473182722050378,0.9826971939902786,0.9843680954485197,0.9859975695978791,0.9872403888643394,0.9850309323906319,0.9840090587715423,0.9864118426866992,0.9813024745912508,Powell,77,077_000039,P,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.93337553481545,46.57641932689],[-112.93337629186098,46.576346413171464],[-112.933372283252,46.57607832745216],[-112.93337294485576,46.57345193169533],[-112.93321517942377,46.57302102603077],[-112.93295638585528,46.57257993274921],[-112.93253716495546,46.57217722364569],[-112.93209011032698,46.57176877600524],[-112.93156110747138,46.571397937888506],[-112.93091529011716,46.571082684935845],[-112.93025537062988,46.570864691637595],[-112.92956702462762,46.57071405615341],[-112.92921143529425,46.57070843063556],[-112.92913114193749,46.57095516320956],[-112.92895956548084,46.5710266471308],[-112.92868760900878,46.57129278538837],[-112.92858783793085,46.571464535552835],[-112.9285765210905,46.571825538080105],[-112.92842740459179,46.57213546102048],[-112.92834484237787,46.572373381249825],[-112.92826583454638,46.572801986112154],[-112.92821053608854,46.57296822205784],[-112.92807707379113,46.57326252630809],[-112.92811315586059,46.57360400216362],[-112.92805236644288,46.57392565101127],[-112.92797740779173,46.57434465830296],[-112.92791784683997,46.574620651536705],[-112.92794494599254,46.57510434285395],[-112.92793414414844,46.57572016093034],[-112.9278744788136,46.5760462339559],[-112.9278715115329,46.57628781634856],[-112.92800376795338,46.57717707941206],[-112.92815901878028,46.57769935955122],[-112.92841188772739,46.57771328945359],[-112.9287577270087,46.57770650032559],[-112.92909960988831,46.57765924845802],[-112.92938673300978,46.57757784659272],[-112.9295790905682,46.577535595332],[-112.92972815029378,46.57750334020251],[-112.9299436196663,46.57744907893964],[-112.93012965873098,46.57740761865581],[-112.93022216203076,46.57735964678849],[-112.93065032695881,46.577215136650814],[-112.93094320185409,46.5771557595086],[-112.93119621288776,46.5770694700148],[-112.93141532601291,46.57697840751997],[-112.9316171185901,46.576821193230984],[-112.93181844704905,46.57668677843389],[-112.93212225679693,46.57659417354251],[-112.93249668640222,46.5764699930573],[-112.93298752760758,46.576440541014286],[-112.93337553481545,46.57641932689]]]}"
00000000000000000006,0.9766882080531643,0.9766882080531643,0.9854922686481251,0.9869443499646788,0.9807697339159098,0.9636979670861565,0.95931555950917,0.9637110488998191,0.9843803144868001,0.9403600115119957,Powell,77,077_000040,P,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.91297644815536,46.577879506844496],[-112.91232359985145,46.57741025670768],[-112.91139754552783,46.576975106520834],[-112.91103668507459,46.57679713858537],[-112.9105908327166,46.576620602216884],[-112.91016116152026,46.57645575825787],[-112.90974548274039,46.57624364799276],[-112.90910916214747,46.575863341172266],[-112.90857080914442,46.575557344770594],[-112.90770733822094,46.575059721388655],[-112.90748128725849,46.57540202477905],[-112.90719260451935,46.575806735533945],[-112.90701983901971,46.57605126629694],[-112.9069852672672,46.577689639000184],[-112.90696830805422,46.57856107161257],[-112.90437598962467,46.57979487553237],[-112.90344499921945,46.58007484230261],[-112.90325432451765,46.58032625698721],[-112.90329722390605,46.58046650381111],[-112.90340371393643,46.580598916699984],[-112.90405707846122,46.58104535440103],[-112.9077447098633,46.58170947873436],[-112.90814829584536,46.58172288858427],[-112.90934803986046,46.581341000495456],[-112.90984506595734,46.580955816533084],[-112.91060877643805,46.5803597935861],[-112.91127910169054,46.579757285443],[-112.9116759913835,46.57923889357068],[-112.91218268299937,46.579143830529866],[-112.91249359894906,46.57902763057578],[-112.91267881306304,46.57883150236395],[-112.91271450678363,46.57869055615537],[-112.91274204345103,46.578518714203184],[-112.9128632010621,46.57835338122617],[-112.91278644904152,46.57810802008028],[-112.91297644815536,46.577879506844496]]]}"
00000000000000000009,0.9927365121449383,0.9927365121449383,0.9942831103194001,0.9962163580374774,0.9949459381084552,0.9946145242139277,0.9946145242139277,0.9924741428117707,0.9951530717925349,0.9922117734786031,Powell,77,077_000062,P,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.93866048049206,46.58242720355637],[-112.93862410000719,46.5824135024666],[-112.93511836645473,46.58230096700476],[-112.93288012019188,46.58219383180835],[-112.92839938028477,46.58203906169394],[-112.92836013542333,46.58203944564119],[-112.92819965313748,46.58202761834359],[-112.92827550908908,46.58426675892165],[-112.92887878405251,46.58429147446037],[-112.9288887129933,46.58448147807361],[-112.92958205433263,46.58454955067938],[-112.92950621361044,46.58509166071724],[-112.93007647987082,46.58516604200959],[-112.93022200897396,46.584943047859134],[-112.93044513911131,46.58506989442498],[-112.93086268729473,46.585263550261075],[-112.9313063848867,46.58543114727006],[-112.93177376862513,46.585563905746774],[-112.9322533297046,46.585667820499914],[-112.93275031154705,46.58573775376294],[-112.93325201817788,46.585775224229124],[-112.93337614420908,46.58577333886934],[-112.93348753051549,46.585773059431396],[-112.93375726147246,46.58577575530011],[-112.93425973127987,46.58574029212048],[-112.93475531355998,46.58567838308062],[-112.93523413699577,46.58557754436227],[-112.93570503947562,46.58544582856354],[-112.93614885977752,46.585285656377266],[-112.93657088549908,46.585091804002026],[-112.93690916369184,46.58490386364324],[-112.93696063907639,46.58487469994234],[-112.93732325221437,46.58462907595349],[-112.93764079676473,46.58436174267828],[-112.93792622423436,46.584071204516434],[-112.93816879090977,46.58376771391144],[-112.93836018182967,46.583443419174365],[-112.93851097661745,46.58311499408339],[-112.9386116731996,46.58277011065486],[-112.93866048049206,46.58242720355637]]]}"
0000000000000000000b,0.9916656242181635,0.9916656242181635,0.9947382411808857,0.9980532274205653,0.9935811233425068,0.9882568176132098,0.9878971728796596,0.9866931448586438,0.9959500875656742,0.9832765198899172,Powell,77,077_000066,P,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.91297644815536,46.577879506844496],[-112.9132835382064,46.57749527536306],[-112.91363470774014,46.57720563567054],[-112.91364744338057,46.57720403272805],[-112.91386177395901,46.5771453996152],[-112.9141159504089,46.57711368546158],[-112.91416425309716,46.57719870788231],[-112.9142769434303,46.57733026271841],[-112.9146062625836,46.57746212131858],[-112.91512116027948,46.57752529665459],[-112.91553020444304,46.577610732633374],[-112.9155470118568,46.57737197035831],[-112.91565902489705,46.577171377257976],[-112.91581912667984,46.57710590057693],[-112.91602460257805,46.57691176872357],[-112.91615635360844,46.576635889155305],[-112.91624841125548,46.57633313757503],[-112.91639554369976,46.57591417474216],[-112.91648162116626,46.57568954191238],[-112.91664289455218,46.57540085117111],[-112.91663223587473,46.57528379338955],[-112.9170687015895,46.5746148169819],[-112.91785056732945,46.57368430100101],[-112.9177165597907,46.57326860682289],[-112.91748625318925,46.5724052559139],[-112.91699077680242,46.571784352360716],[-112.915880660142,46.570917087018955],[-112.91521005282742,46.57063217573464],[-112.9141608144435,46.57053104831371],[-112.91371854517986,46.57054529171242],[-112.91246517015557,46.57059250054279],[-112.91233582506358,46.57059957680208],[-112.91142412979247,46.570649656481784],[-112.91104289033696,46.570747297183466],[-112.91063450211632,46.57081650358135],[-112.9102029816947,46.57094775675458],[-112.90947070519117,46.571234800489975],[-112.90907032157807,46.57156243342586],[-112.90857746559342,46.57211555269485],[-112.90811081574141,46.57282008892155],[-112.90810653260282,46.57310738238798],[-112.90821500832773,46.573753805063646],[-112.90819041666819,46.57386155935292],[-112.9081150365976,46.57420321199679],[-112.90805865876888,46.57431496178532],[-112.90792561596288,46.57463647810147],[-112.90780676739371,46.57481067779896],[-112.90770733822094,46.575059721388655],[-112.90857080914442,46.575557344770594],[-112.90910916214747,46.575863341172266],[-112.90974548274039,46.57624364799276],[-112.91016116152026,46.57645575825787],[-112.9105908327166,46.576620602216884],[-112.91103668507459,46.57679713858537],[-112.91139754552783,46.576975106520834],[-112.91232359985145,46.57741025670768],[-112.91297644815536,46.577879506844496]]]}"
00000000000000000007,0.8537820261009994,0.8537820261009994,0.9080354414909868,0.9371480948016238,0.9330452621011741,0.921915237222295,0.893893762821352,0.4185762297586314,0.9734188817598534,0.07568416917637817,Powell,77,077_000049,S,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.91977758013363,46.58258345009771],[-112.9196608141583,46.58263901455396],[-112.91933132890105,46.58273475428545],[-112.91903616552571,46.58278528054169],[-112.91881531374676,46.58289473835692],[-112.91876276219318,46.582919545738925],[-112.91862192350098,46.5831100554761],[-112.91848644439222,46.58347292476578],[-112.9184548791296,46.58360433980264],[-112.9185170670073,46.5836921778985],[-112.92091796277761,46.584097864131515],[-112.92137159635695,46.58417776592546],[-112.92225744781489,46.5843812181183],[-112.92263480603661,46.584470632398265],[-112.9237855508876,46.58470927926069],[-112.92397098717157,46.58423548993355],[-112.9246110648374,46.584351257496934],[-112.92476109725509,46.58391834090822],[-112.92482053061535,46.58391997260269],[-112.92484713802399,46.583921173720746],[-112.92493704824487,46.583736983936404],[-112.92501473704627,46.58340411800982],[-112.92502402647459,46.58247897170151],[-112.92271352431653,46.58282669510074],[-112.92240752598399,46.58281032356175],[-112.9222141260062,46.582798075175084],[-112.92167440232656,46.58276533592349],[-112.92112826286268,46.58273340614978],[-112.92040902870004,46.58264115682789],[-112.91977758013363,46.58258345009771]]]}"
00000000000000000008,0.8675883256528417,0.8675883256528417,0.9151766513056834,0.9732718894009215,0.9349615975422425,0.9190168970814131,0.8982181259600613,0.9739784946236557,0.984485407066052,0.93542242703533,Powell,77,077_000050,S,KH,MTDNRC,3,"{""type"":""Polygon"",""coordinates"":[[[-112.9387873368947,46.58246138675204],[-112.93866048049206,46.58242720355637],[-112.9386116731996,46.58277011065486],[-112.93851097661745,46.58311499408339],[-112.93836018182967,46.583443419174365],[-112.93816879090977,46.58376771391144],[-112.93792622423436,46.584071204516434],[-112.93764079676473,46.58436174267828],[-112.93732325221437,46.58462907595349],[-112.93696063907639,46.58487469994234],[-112.93690916369184,46.58490386364324],[-112.93657088549908,46.585091804002026],[-112.93614885977752,46.585285656377266],[-112.93570503947562,46.58544582856354],[-112.93523413699577,46.58557754436227],[-112.93475531355998,46.58567838308062],[-112.93425973127987,46.58574029212048],[-112.93375726147246,46.58577575530011],[-112.93348753051549,46.585773059431396],[-112.93337614420908,46.58577333886934],[-112.93325201817788,46.585775224229124],[-112.93275031154705,46.58573775376294],[-112.9322533297046,46.585667820499914],[-112.93177376862513,46.585563905746774],[-112.9313063848867,46.58543114727006],[-112.93086268729473,46.585263550261075],[-112.93044513911131,46.58506989442498],[-112.93022200897396,46.584943047859134],[-112.93007647987082,46.58516604200959],[-112.92989263180989,46.58549399575518],[-112.93004152317391,46.585561897397625],[-112.92997747167742,46.585770165863146],[-112.9306831418324,46.58598698006828],[-112.93242717762058,46.58633800947747],[-112.93337581919917,46.58665647016462],[-112.93348654443533,46.586679037261895],[-112.93361237310522,46.5867087985168],[-112.93497166202363,46.586966858024645],[-112.93673810756549,46.58737874723963],[-112.93829136010392,46.58790378341454],[-112.93835238114968,46.587254386927576],[-112.9384502030306,46.586140529302355],[-112.93846977537541,46.58593784622501],[-112.93853903313826,46.58521908028489],[-112.93856401423648,46.584910949059804],[-112.9387470933714,46.58291252400024],[-112.93878148916801,46.58248943441188],[-112.9387873368947,46.58246138675204]]]}"
